Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2000-10-01T00:00:00Z,2000.7486339,5251,5833,1013.52
2000-11-01T00:00:00Z,2000.8333333,5169,5694,1012.04
2000-12-01T00:00:00Z,2000.9153005,5501,5742,1004.83
2001-01-01T00:00:00Z,2001.0000000,5313,5817,1011.37
2001-02-01T00:00:00Z,2001.0849315,5551,5959,1008.95
2001-03-01T00:00:00Z,2001.1616438,5721,6024,1006.01
2001-04-01T00:00:00Z,2001.2465753,5389,5736,1007.54
2001-05-01T00:00:00Z,2001.3287671,5480,5885,1008.61
2001-06-01T00:00:00Z,2001.4136986,5575,5929,1007.23
2001-07-01T00:00:00Z,2001.4958904,5536,5959,1008.88
2001-08-01T00:00:00Z,2001.5808219,5423,5857,1009.42
2001-09-01T00:00:00Z,2001.6657534,5326,5857,1011.86
2001-10-01T00:00:00Z,2001.7479452,5471,5771,1006.31
2001-11-01T00:00:00Z,2001.8328767,5777,5854,1001.41
2001-12-01T00:00:00Z,2001.9150685,5277,5907,1015.00
2002-01-01T00:00:00Z,2002.0000000,5641,5735,1001.47
2002-02-01T00:00:00Z,2002.0849315,6381,5910,988.90
2002-03-01T00:00:00Z,2002.1616438,5716,5845,1002.94
2002-04-01T00:00:00Z,2002.2465753,5108,5848,1017.25
2002-05-01T00:00:00Z,2002.3287671,5235,5859,1014.11
2002-06-01T00:00:00Z,2002.4136986,5531,5908,1007.87
2002-07-01T00:00:00Z,2002.4958904,5371,5808,1009.64
2002-08-01T00:00:00Z,2002.5808219,5070,5684,1014.40
2002-09-01T00:00:00Z,2002.6657534,5296,5780,1010.85
2002-10-01T00:00:00Z,2002.7479452,5281,5825,1012.56
2002-11-01T00:00:00Z,2002.8328767,5067,5728,1015.83
2002-12-01T00:00:00Z,2002.9150685,4904,5756,1021.22
2003-01-01T00:00:00Z,2003.0000000,5779,5810,999.99
2003-02-01T00:00:00Z,2003.0849315,5067,5807,1017.44
2003-03-01T00:00:00Z,2003.1616438,5358,5844,1011.00
2003-04-01T00:00:00Z,2003.2465753,5023,5821,1019.19
2003-05-01T00:00:00Z,2003.3287671,5363,5772,1008.80
2003-06-01T00:00:00Z,2003.4136986,5243,5654,1009.24
2003-07-01T00:00:00Z,2003.4958904,5212,5750,1012.31
2003-08-01T00:00:00Z,2003.5808219,5454,5799,1007.46
2003-09-01T00:00:00Z,2003.6657534,5424,5849,1009.52
2003-10-01T00:00:00Z,2003.7479452,5589,5762,1003.59
2003-11-01T00:00:00Z,2003.8328767,4863,5435,1014.30
2003-12-01T00:00:00Z,2003.9150685,5860,5800,998.22
2004-01-01T00:00:00Z,2004.0000000,5440,5755,1006.87
2004-02-01T00:00:00Z,2004.0846995,5754,5922,1003.07
2004-03-01T00:00:00Z,2004.1639344,5413,6042,1014.44
2004-04-01T00:00:00Z,2004.2486339,5429,6105,1015.12
2004-05-01T00:00:00Z,2004.3306011,5792,6166,1007.61
2004-06-01T00:00:00Z,2004.4153005,5870,6163,1005.79
2004-07-01T00:00:00Z,2004.4972678,5612,6077,1010.03
2004-08-01T00:00:00Z,2004.5819672,5650,6114,1009.91
2004-09-01T00:00:00Z,2004.6666667,6018,6153,1002.48
2004-10-01T00:00:00Z,2004.7486339,5798,6296,1010.44
2004-11-01T00:00:00Z,2004.8333333,5998,6135,1002.36
2004-12-01T00:00:00Z,2004.9153005,6314,6182,996.74
2005-01-01T00:00:00Z,2005.0000000,6091,5959,996.61
2005-02-01T00:00:00Z,2005.0849315,5414,6134,1016.41
2005-03-01T00:00:00Z,2005.1616438,5623,6179,1011.88
2005-04-01T00:00:00Z,2005.2465753,5736,6233,1010.47
2005-05-01T00:00:00Z,2005.3287671,5687,6092,1008.40
2005-06-01T00:00:00Z,2005.4136986,5745,6207,1009.55
2005-07-01T00:00:00Z,2005.4958904,5718,6166,1009.24
2005-08-01T00:00:00Z,2005.5808219,5717,6114,1008.12
2005-09-01T00:00:00Z,2005.6657534,5630,5946,1006.54
2005-10-01T00:00:00Z,2005.7479452,5579,6234,1014.29
2005-11-01T00:00:00Z,2005.8328767,6168,6307,1002.59
2005-12-01T00:00:00Z,2005.9150685,5822,6309,1010.68
2006-01-01T00:00:00Z,2006.0000000,5434,6331,1020.29
2006-02-01T00:00:00Z,2006.0849315,5780,6405,1013.02
2006-03-01T00:00:00Z,2006.1616438,5977,6479,1010.47
2006-04-01T00:00:00Z,2006.2465753,6048,6489,1008.80
2006-05-01T00:00:00Z,2006.3287671,6017,6516,1010.43
2006-06-01T00:00:00Z,2006.4136986,5938,6513,1011.52
2006-07-01T00:00:00Z,2006.4958904,5835,6495,1013.51
2006-08-01T00:00:00Z,2006.5808219,6000,6498,1009.62
2006-09-01T00:00:00Z,2006.6657534,6107,6494,1007.40
