season,Temperature,concentration
A1,30,8
A1,28,10.5
A1,30,8.2
A1,29,13
A1,28,10.1
A1,17,16.2
A1,24,16.1
A1,22,13.4
A1,30,13
A1,30,7.3
A1,25,14
A2,34,9.1
A2,19,19.4
A2,22,20.5
A2,25,14.2
A2,22,11
A2,25,19.1
A2,22,16
A2,23,11.1
A2,28,12
A2,24,17.1
A2,30,13.3
A2,24,8.9
A3,27,15
A3,20,21
A3,14,24.2
A3,18,15.3
A3,12,17.3
A3,18,24.7
A3,13,23.9
A3,21,20.2
A3,24,13.6
A4,16,23.4
A4,16,28.2
A4,20,29.5
A4,16,22.2
A4,6,40.2
A4,16,36.6
A4,12,35.5
A4,11,42.1
A4,9,42.5
A4,22,25.8
